Mood,song_name,artist_name,popularity,danceability,energy,key,loudness,mode,speechiness,acousticness,instrumentalness,liveness,valence,tempo,duration_ms,song_uri
Happy,Butter,BTS,81.0,0.759,0.459,8.0,-5.187,1.0,0.0948,0.00323,0.0,0.0788,0.695,109.997,2.7492,spotify:track:6jjYDGxVJsWS0a5wlVF5vS
Happy,Shower,Becky G,81.0,0.699,0.529,2.0,-7.548,1.0,0.0487,0.0317,3.59e-05,0.285,0.121,119.987,3.4361166666666665,spotify:track:3DmW6y7wTEYHJZlLo1r6XJ
Happy,Better Days (NEIKED x Mae Muller x Polo G),NEIKED,81.0,0.717,0.671,0.0,-5.077,0.0,0.0337,0.0018,2.54e-06,0.0921,0.699,110.054,2.6776166666666668,spotify:track:6f5ExP43esnvdKPddwKXJH
Happy,2 Be Loved (Am I Ready),Lizzo,81.0,0.721,0.769,7.0,-4.111,1.0,0.105,0.0922,0.0,0.0817,0.915,155.932,3.1184666666666665,spotify:track:2rmwqU7yzTvzkiaRV53DpT
Happy,I'm Not Here To Make Friends,Sam Smith,81.0,0.698,0.895,0.0,-4.439,1.0,0.0628,0.172,1.45e-05,0.194,0.838,114.914,3.82675,spotify:track:3i0FkJYlU4MFfYkjFHXXAM
Happy,Speed Drive (From Barbie The Album),Charli XCX,81.0,0.652,0.879,0.0,-6.405,1.0,0.0784,0.00284,2.7275e-05,0.0918,0.789,127.845,1.9635,spotify:track:5VxmI3IdgAxWVvUnJoLuY2
Happy,Don't Start Now,Dua Lipa,81.0,0.794,0.793,11.0,-4.521,0.0,0.0842,0.0125,0.0,0.0952,0.677,123.941,3.0548333333333333,spotify:track:6WrI0LAC5M1Rw2MnX2ZvEg
Happy,Remember,Becky Hill,80.0,0.612,0.862,8.0,-2.903,1.0,0.037,0.041,0.0,0.0907,0.354,123.849,2.6794333333333333,spotify:track:4laAKIq9ZxBCwf99rauPYb
Happy,I Don't Care (with Justin Bieber),Ed Sheeran & Justin Bieber,80.0,0.798,0.675,6.0,-5.041,1.0,0.0442,0.0912,0.0,0.0894,0.842,101.956,3.665783333333333,spotify:track:3HVWdVOQ0ZA45FuZGSfvns
Happy,Summer of Love (Shawn Mendes & Tainy),Shawn Mendes,80.0,0.776,0.808,11.0,-4.501,1.0,0.117,0.0297,2.7275e-05,0.103,0.494,123.988,3.0684,spotify:track:0z8hI3OPS8ADPWtoCjjLl6
Happy,Alone (with Nicki Minaj),Kim Petras,80.0,0.681,0.513,3.0,-6.643,0.0,0.0388,0.069,0.0,0.125,0.167,136.985,3.0852166666666667,spotify:track:7kOletJ0Q5H4MWe7cfeZXP
Happy,My Head & My Heart,Ava Max,80.0,0.614,0.934,9.0,-3.709,0.0,0.07,0.0697,0.0,0.121,0.436,116.001,2.9126666666666665,spotify:track:1KixkQVDUHggZMU9dUobgm
Happy,Heartbreak Anthem (with David Guetta & Little Mix),Galantis,79.0,0.595,0.784,1.0,-4.878,1.0,0.102,0.216,0.0,0.0608,0.479,124.111,3.0621,spotify:track:5K6Ssv4Z3zRvxt0P6EKUAP
Happy,I Forgot That You Existed,Taylor Swift,79.0,0.664,0.66525,5.0,-6.3927499999999995,1.0,0.093975,0.298,2.03e-06,0.0812,0.541,92.875,2.844,spotify:track:43rA71bccXFGD4C8GOpIlN
Happy,Higher Love,Kygo,79.0,0.693,0.678,8.0,-7.159,1.0,0.0324,0.0151,5.71e-06,0.101,0.404,103.952,3.80445,spotify:track:6oJ6le65B3SEqPwMRNXWjY
Happy,Dancing In The Moonlight (feat. NEIMY),Jubël,79.0,0.659,0.615,11.0,-5.865,0.0,0.0644,0.27,0.0,0.187,0.193,119.843,2.7335,spotify:track:4GSDkZt7GcmzBWmsMcpaVO
Happy,Take You Dancing,Jason Derulo,79.0,0.789,0.711,2.0,-4.248,1.0,0.041,0.0332,0.0,0.0876,0.753,112.985,3.1717666666666666,spotify:track:59qrUpoplZxbIZxk6X0Bm3
Happy,4runner,Brenn!,79.0,0.792,0.518,1.0,-6.3927499999999995,1.0,0.0847,0.326,2.7275e-05,0.194,0.512,128.025,3.3054166666666664,spotify:track:1RaF9xwakfao1RRknWyYB5
Happy,Lottery (feat. LU KALA),Latto,79.0,0.792,0.874,1.0,-2.966,1.0,0.0852,0.0158,2.7275e-05,0.071,0.934,113.969,3.1127,spotify:track:1JUtrCqYzJ80tcAzMbCvir
Happy,Car Keys (Ayla),Alok,79.0,0.675,0.986,9.0,-4.606,0.0,0.0974,0.0868,4.96e-06,0.128,0.57,126.004,2.441683333333333,spotify:track:00E0Z2jrF7reoHps4zcbWQ
Happy,Fancy Like,Walker Hayes,79.0,0.647,0.765,1.0,-6.459,1.0,0.06,0.111,0.0,0.315,0.855,79.994,2.69755,spotify:track:58UKC45GPNTflCN6nwCUeF
Happy,3 Nights,Dominic Fike,79.0,0.815,0.518,7.0,-6.594,0.0,0.0897,0.223,0.0,0.104,0.877,151.891,2.961116666666667,spotify:track:1tNJrcVe6gwLEiZCtprs1u
Happy,Love Grows (Where My Rosemary Goes),Edison Lighthouse,79.0,0.568,0.824,9.0,-4.613,1.0,0.0299,0.403,0.0,0.0855,0.753,108.625,2.9126666666666665,spotify:track:5Ts1DYOuouQLgzTaisxWYh
Happy,Dance Monkey,Tones And I,78.0,0.824,0.587,6.0,-6.401,0.0,0.0937,0.182,2.7275e-05,0.149,0.514,98.029,3.4906333333333333,spotify:track:2N8m6CYs74qQO4mjVcXO30
Happy,AOK,Tai Verdes,78.0,0.731,0.626,11.0,-6.919,1.0,0.0805,0.125,0.0,0.183,0.862,82.488,2.894,spotify:track:1sx0XsWUusUoPstbvokZjP
Happy,Hot In It,Tiësto,78.0,0.748,0.841,7.0,-5.08,1.0,0.093975,0.00445,1.33e-06,0.0413,0.717,123.045,2.1636166666666665,spotify:track:3Z7CaxQkqbIs1rewKi6v4W
Happy,"CAN'T STOP THE FEELING! (from DreamWorks Animation's ""TROLLS"")",Justin Timberlake,78.0,0.669,0.832,0.0,-5.721,1.0,0.0682,0.0106,0.0,0.0968,0.7,113.035,3.9591166666666666,spotify:track:1WkMMavIMc4JZ8cfMmxHkI
Happy,Put Your Records On,Ritt Momney,78.0,0.646,0.491,6.0,-6.3927499999999995,0.0,0.0538,0.0563,2.7275e-05,0.11,0.151,91.066,3.5077166666666666,spotify:track:6AGOKlMZWLCaEJGnaROtF9
